epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.541,1.50468,0.75248,1.02086,0.67466,0.58296,0.64341,0.36332,1.61501,1.0146,1.12419,0.000547837,0.000547837,0.000547837
43,141.034,1.45399,0.77438,1.05955,0.67466,0.58296,0.64341,0.36332,1.61501,1.0146,1.12419,0.000551689,0.000551689,0.000551689
44,144.07,1.47171,0.75855,1.01403,0.65075,0.60046,0.64574,0.36495,1.60508,0.93194,1.11624,0.000555101,0.000555101,0.000555101
45,146.156,1.4091,0.73458,1.01462,0.65075,0.60046,0.64574,0.36495,1.60508,0.93194,1.11624,0.000558073,0.000558073,0.000558073
46,148.28,1.40287,0.77085,1.02784,0.75461,0.63577,0.69051,0.37752,1.62442,0.87435,1.12749,0.000560605,0.000560605,0.000560605
47,150.534,1.40844,0.73259,1.03794,0.75461,0.63577,0.69051,0.37752,1.62442,0.87435,1.12749,0.000562697,0.000562697,0.000562697
48,153.052,1.40108,0.74606,1.03742,0.79294,0.62765,0.71313,0.40187,1.58623,0.85696,1.10739,0.000564349,0.000564349,0.000564349
49,155.63,1.58739,0.78681,1.03183,0.79294,0.62765,0.71313,0.40187,1.58623,0.85696,1.10739,0.000565561,0.000565561,0.000565561
50,158.1,1.37227,0.71811,1.02464,0.74019,0.63454,0.71853,0.41562,1.58815,0.86344,1.10896,0.000566333,0.000566333,0.000566333
51,160.674,1.37636,0.75212,1.03516,0.74019,0.63454,0.71853,0.41562,1.58815,0.86344,1.10896,0.000561055,0.000561055,0.000561055
52,163.495,1.39282,0.73182,1.0368,0.76676,0.60201,0.70769,0.40126,1.62603,0.86082,1.12114,0.000550056,0.000550056,0.000550056
53,165.804,1.39147,0.70324,1.00898,0.76676,0.60201,0.70769,0.40126,1.62603,0.86082,1.12114,0.000539057,0.000539057,0.000539057
54,167.99,1.3964,0.74766,1.0854,0.63985,0.64996,0.67775,0.37407,1.61142,0.85544,1.10982,0.000528058,0.000528058,0.000528058
55,170.267,1.40154,0.71463,1.03535,0.63985,0.64996,0.67775,0.37407,1.61142,0.85544,1.10982,0.000517059,0.000517059,0.000517059
56,172.581,1.64355,0.74624,1.02109,0.76923,0.5847,0.6818,0.38373,1.59579,0.84444,1.10276,0.00050606,0.00050606,0.00050606
57,174.888,1.43913,0.76463,1.03416,0.76923,0.5847,0.6818,0.38373,1.59579,0.84444,1.10276,0.000495062,0.000495062,0.000495062
58,177.127,1.35535,0.69052,1.01372,0.743,0.59911,0.68596,0.39678,1.61032,0.84447,1.11247,0.000484063,0.000484063,0.000484063
59,179.388,1.38982,0.70983,1.04173,0.743,0.59911,0.68596,0.39678,1.61032,0.84447,1.11247,0.000473064,0.000473064,0.000473064
60,181.636,1.36005,0.66643,0.99978,0.76704,0.57489,0.7016,0.40156,1.60679,0.84678,1.11001,0.000462065,0.000462065,0.000462065
61,184.071,1.38601,0.73303,1.04277,0.76704,0.57489,0.7016,0.40156,1.60679,0.84678,1.11001,0.000451066,0.000451066,0.000451066
62,186.533,1.47612,0.69423,0.99282,0.71059,0.61068,0.69323,0.39315,1.63085,0.8626,1.11466,0.000440067,0.000440067,0.000440067
63,188.497,1.3514,0.6634,1.0098,0.71059,0.61068,0.69323,0.39315,1.63085,0.8626,1.11466,0.000429068,0.000429068,0.000429068
64,190.606,1.29498,0.65311,1.00763,0.70073,0.63306,0.70372,0.40097,1.60999,0.86372,1.10539,0.000418069,0.000418069,0.000418069
65,193.126,1.28734,0.63665,1.00265,0.70073,0.63306,0.70372,0.40097,1.60999,0.86372,1.10539,0.00040707,0.00040707,0.00040707
66,195.591,1.33591,0.67626,1.01668,0.68656,0.68163,0.70618,0.40605,1.59188,0.8598,1.09973,0.000396071,0.000396071,0.000396071
67,197.622,1.22002,0.64902,0.98615,0.68656,0.68163,0.70618,0.40605,1.59188,0.8598,1.09973,0.000385073,0.000385073,0.000385073
68,200.082,1.35251,0.65864,1.00309,0.75698,0.63254,0.7089,0.41917,1.59412,0.85492,1.10079,0.000374074,0.000374074,0.000374074
69,202.352,1.34462,0.63479,0.99305,0.75698,0.63254,0.7089,0.41917,1.59412,0.85492,1.10079,0.000363075,0.000363075,0.000363075
70,204.77,1.33339,0.64519,0.99814,0.73281,0.67622,0.70747,0.41084,1.58721,0.84978,1.09716,0.000352076,0.000352076,0.000352076
71,206.91,1.30098,0.63833,1.00143,0.73281,0.67622,0.70747,0.41084,1.58721,0.84978,1.09716,0.000341077,0.000341077,0.000341077
72,209.393,1.34763,0.62762,0.9847,0.71888,0.70048,0.70763,0.41325,1.58283,0.84617,1.09186,0.000330078,0.000330078,0.000330078
73,211.648,1.38133,0.69456,1.01085,0.71888,0.70048,0.70763,0.41325,1.58283,0.84617,1.09186,0.000319079,0.000319079,0.000319079
74,214.055,1.59896,0.72795,0.98952,0.71596,0.6786,0.69955,0.3985,1.59078,0.85048,1.0951,0.00030808,0.00030808,0.00030808
75,216.33,1.27798,0.64277,1.01568,0.71596,0.6786,0.69955,0.3985,1.59078,0.85048,1.0951,0.000297081,0.000297081,0.000297081
76,219.097,1.26378,0.65656,1.02683,0.7159,0.66817,0.69022,0.38797,1.59779,0.8663,1.09673,0.000286083,0.000286083,0.000286083
77,221.464,1.34658,0.64212,0.97736,0.7159,0.66817,0.69022,0.38797,1.59779,0.8663,1.09673,0.000275084,0.000275084,0.000275084
78,223.708,1.3184,0.64282,0.98814,0.71956,0.6811,0.68952,0.3941,1.58927,0.86531,1.09453,0.000264085,0.000264085,0.000264085
79,225.787,1.24691,0.62075,0.98955,0.71956,0.6811,0.68952,0.3941,1.58927,0.86531,1.09453,0.000253086,0.000253086,0.000253086
80,227.977,1.34213,0.66805,1.01281,0.74378,0.66836,0.69284,0.38729,1.60102,0.86166,1.10222,0.000242087,0.000242087,0.000242087
81,229.589,1.22883,0.60287,0.97894,0.74378,0.66836,0.69284,0.38729,1.60102,0.86166,1.10222,0.000231088,0.000231088,0.000231088
82,232.184,1.36536,0.67715,0.97797,0.748,0.66742,0.69145,0.38841,1.61073,0.85765,1.10884,0.000220089,0.000220089,0.000220089
83,234.061,1.3623,0.65767,0.97544,0.748,0.66742,0.69145,0.38841,1.61073,0.85765,1.10884,0.00020909,0.00020909,0.00020909
84,236.41,1.32771,0.62053,0.99906,0.7397,0.6743,0.68596,0.38122,1.61243,0.85241,1.11097,0.000198091,0.000198091,0.000198091
85,238.618,1.22496,0.59802,0.98383,0.7397,0.6743,0.68596,0.38122,1.61243,0.85241,1.11097,0.000187092,0.000187092,0.000187092
86,241.417,1.34353,0.61622,0.98802,0.74518,0.68035,0.69442,0.39222,1.60644,0.84701,1.1084,0.000176094,0.000176094,0.000176094
87,243.56,1.20771,0.59696,0.96635,0.74518,0.68035,0.69442,0.39222,1.60644,0.84701,1.1084,0.000165095,0.000165095,0.000165095
88,246.005,1.27173,0.62328,0.97841,0.76162,0.64746,0.69863,0.39485,1.60914,0.84632,1.1087,0.000154096,0.000154096,0.000154096
89,248.801,1.27541,0.61411,0.9763,0.76162,0.64746,0.69863,0.39485,1.60914,0.84632,1.1087,0.000143097,0.000143097,0.000143097
90,251.459,1.27494,0.61177,0.99019,0.74579,0.65976,0.69728,0.39805,1.60909,0.84313,1.1098,0.000132098,0.000132098,0.000132098
91,256.659,1.27887,0.70135,0.99551,0.74579,0.65976,0.69728,0.39805,1.60909,0.84313,1.1098,0.000121099,0.000121099,0.000121099
92,259.777,1.30679,0.79449,0.99501,0.74239,0.66762,0.69655,0.40124,1.61316,0.83454,1.11216,0.0001101,0.0001101,0.0001101
93,262.331,1.31158,0.75747,1.01852,0.74239,0.66762,0.69655,0.40124,1.61316,0.83454,1.11216,9.91012e-05,9.91012e-05,9.91012e-05
94,264.697,1.32398,0.70988,1.01272,0.73321,0.67068,0.68963,0.393,1.61937,0.83244,1.11326,8.81023e-05,8.81023e-05,8.81023e-05
95,267.159,1.27934,0.65172,0.96747,0.73321,0.67068,0.68963,0.393,1.61937,0.83244,1.11326,7.71034e-05,7.71034e-05,7.71034e-05
96,270.31,1.25623,0.67172,0.97391,0.73114,0.67242,0.68784,0.38627,1.6232,0.82785,1.11537,6.61045e-05,6.61045e-05,6.61045e-05
97,272.842,1.26943,0.66845,0.99591,0.73114,0.67242,0.68784,0.38627,1.6232,0.82785,1.11537,5.51056e-05,5.51056e-05,5.51056e-05
98,275.316,1.28025,0.62505,0.98988,0.7592,0.64049,0.691,0.38404,1.62497,0.82732,1.11714,4.41067e-05,4.41067e-05,4.41067e-05
99,277.443,1.28196,0.66077,0.96402,0.7592,0.64049,0.691,0.38404,1.62497,0.82732,1.11714,3.31078e-05,3.31078e-05,3.31078e-05
100,279.426,1.1906,0.64944,0.98958,0.74327,0.67675,0.6891,0.38575,1.62589,0.82496,1.11765,2.21089e-05,2.21089e-05,2.21089e-05
