epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,117.409,1.49793,0.81876,1.01418,0.44299,0.70742,0.54301,0.31209,1.60892,1.00435,1.11613,0.000543546,0.000543546,0.000543546
42,120.008,1.50313,0.78415,1.02712,0.49711,0.67947,0.54513,0.31618,1.57146,0.97835,1.0972,0.000547837,0.000547837,0.000547837
43,122.496,1.44117,0.82145,1.06711,0.49711,0.67947,0.54513,0.31618,1.57146,0.97835,1.0972,0.000551689,0.000551689,0.000551689
44,125.602,1.46731,0.82225,1.01577,0.5351,0.65029,0.57489,0.3341,1.55477,0.93423,1.09441,0.000555101,0.000555101,0.000555101
45,128.212,1.40081,0.73714,1.0299,0.5351,0.65029,0.57489,0.3341,1.55477,0.93423,1.09441,0.000558073,0.000558073,0.000558073
46,130.834,1.40194,0.80838,1.04499,0.60868,0.63021,0.58723,0.3498,1.54802,0.90413,1.09617,0.000560605,0.000560605,0.000560605
47,133.485,1.37935,0.74274,1.04014,0.60868,0.63021,0.58723,0.3498,1.54802,0.90413,1.09617,0.000562697,0.000562697,0.000562697
48,135.903,1.38177,0.75183,1.04117,0.57166,0.65679,0.59304,0.3498,1.55695,0.88172,1.09612,0.000564349,0.000564349,0.000564349
49,138.508,1.63367,0.81024,1.04084,0.57166,0.65679,0.59304,0.3498,1.55695,0.88172,1.09612,0.000565561,0.000565561,0.000565561
50,140.953,1.35443,0.74389,1.01848,0.57098,0.6763,0.6129,0.35781,1.58143,0.89155,1.10228,0.000566333,0.000566333,0.000566333
51,143.589,1.39366,0.78169,1.03013,0.57098,0.6763,0.6129,0.35781,1.58143,0.89155,1.10228,0.000561055,0.000561055,0.000561055
52,146.539,1.40642,0.76663,1.02911,0.55956,0.68233,0.62954,0.37256,1.57309,0.8865,1.09717,0.000550056,0.000550056,0.000550056
53,149.372,1.40134,0.73439,1.00769,0.55956,0.68233,0.62954,0.37256,1.57309,0.8865,1.09717,0.000539057,0.000539057,0.000539057
54,152.337,1.38311,0.78914,1.0764,0.63463,0.61662,0.63566,0.37133,1.56147,0.87696,1.09092,0.000528058,0.000528058,0.000528058
55,154.726,1.37664,0.71108,1.03066,0.63463,0.61662,0.63566,0.37133,1.56147,0.87696,1.09092,0.000517059,0.000517059,0.000517059
56,157.215,1.61439,0.77976,1.0165,0.65946,0.57411,0.63025,0.3655,1.57562,0.87359,1.09629,0.00050606,0.00050606,0.00050606
57,158.72,1.44167,0.76473,1.04266,0.65946,0.57411,0.63025,0.3655,1.57562,0.87359,1.09629,0.000495062,0.000495062,0.000495062
58,161.246,1.33475,0.69823,1.01303,0.56612,0.66368,0.62058,0.35515,1.58394,0.85332,1.1044,0.000484063,0.000484063,0.000484063
59,163.759,1.34961,0.72231,1.03829,0.56612,0.66368,0.62058,0.35515,1.58394,0.85332,1.1044,0.000473064,0.000473064,0.000473064
60,166.322,1.34642,0.69327,1.00277,0.56606,0.68335,0.64186,0.36753,1.57405,0.83972,1.10281,0.000462065,0.000462065,0.000462065
61,169.173,1.38172,0.72782,1.05511,0.56606,0.68335,0.64186,0.36753,1.57405,0.83972,1.10281,0.000451066,0.000451066,0.000451066
62,172.263,1.47486,0.69972,0.9982,0.60722,0.69581,0.65063,0.38096,1.5658,0.83096,1.09581,0.000440067,0.000440067,0.000440067
63,175.611,1.30753,0.67885,0.9996,0.60722,0.69581,0.65063,0.38096,1.5658,0.83096,1.09581,0.000429068,0.000429068,0.000429068
64,178.203,1.27341,0.67004,1.00711,0.63696,0.67951,0.67279,0.39859,1.57232,0.8285,1.09453,0.000418069,0.000418069,0.000418069
65,180.873,1.27373,0.65016,1.00113,0.63696,0.67951,0.67279,0.39859,1.57232,0.8285,1.09453,0.00040707,0.00040707,0.00040707
66,183.489,1.31021,0.68373,1.00933,0.71041,0.6916,0.70008,0.4201,1.57579,0.82025,1.09394,0.000396071,0.000396071,0.000396071
67,185.914,1.19877,0.67135,0.97572,0.71041,0.6916,0.70008,0.4201,1.57579,0.82025,1.09394,0.000385073,0.000385073,0.000385073
68,188.662,1.37018,0.66863,1.00375,0.72018,0.73156,0.71023,0.41759,1.59116,0.81583,1.101,0.000374074,0.000374074,0.000374074
69,190.959,1.33126,0.65343,0.98509,0.72018,0.73156,0.71023,0.41759,1.59116,0.81583,1.101,0.000363075,0.000363075,0.000363075
70,193.159,1.30987,0.64733,0.98848,0.71114,0.69928,0.67989,0.39121,1.58673,0.82105,1.09949,0.000352076,0.000352076,0.000352076
