epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,203.581,1.83668,1.86116,1.06648,0.09931,0.2636,0.16602,0.09035,1.69297,2.99398,1.0709,0.000547837,0.000547837,0.000547837
43,206.71,1.77151,1.8107,1.03977,0.09931,0.2636,0.16602,0.09035,1.69297,2.99398,1.0709,0.000551689,0.000551689,0.000551689
44,210.07,1.74486,1.90445,1.06606,0.09831,0.28403,0.17358,0.09381,1.67654,2.82474,1.06238,0.000555101,0.000555101,0.000555101
45,212.59,1.74108,1.73373,1.04189,0.09831,0.28403,0.17358,0.09381,1.67654,2.82474,1.06238,0.000558073,0.000558073,0.000558073
46,214.666,1.69355,1.49082,1.06114,0.10235,0.3337,0.19807,0.10146,1.66593,2.70493,1.05843,0.000560605,0.000560605,0.000560605
47,217.12,1.75509,1.75612,1.02525,0.10235,0.3337,0.19807,0.10146,1.66593,2.70493,1.05843,0.000562697,0.000562697,0.000562697
48,220.026,1.86539,1.88641,1.06179,0.10451,0.35488,0.20101,0.10252,1.67066,2.61577,1.0552,0.000564349,0.000564349,0.000564349
49,223.33,1.84152,1.73865,1.02609,0.10451,0.35488,0.20101,0.10252,1.67066,2.61577,1.0552,0.000565561,0.000565561,0.000565561
50,225.424,1.7833,1.69034,1.03644,0.10469,0.38261,0.21083,0.10603,1.69211,2.49292,1.06468,0.000566333,0.000566333,0.000566333
51,228.176,1.78605,1.65264,1.03256,0.10469,0.38261,0.21083,0.10603,1.69211,2.49292,1.06468,0.000561055,0.000561055,0.000561055
52,231.066,1.79317,1.67533,1.04981,0.11966,0.45747,0.22115,0.11636,1.68972,2.31081,1.0601,0.000550056,0.000550056,0.000550056
53,234.344,1.76426,1.59532,1.10529,0.11966,0.45747,0.22115,0.11636,1.68972,2.31081,1.0601,0.000539057,0.000539057,0.000539057
54,237.673,1.77849,1.69178,1.0275,0.11738,0.47161,0.2214,0.11862,1.72046,2.16482,1.06512,0.000528058,0.000528058,0.000528058
55,239.472,1.73881,1.50708,1.02701,0.11738,0.47161,0.2214,0.11862,1.72046,2.16482,1.06512,0.000517059,0.000517059,0.000517059
56,241.494,1.80135,1.7482,1.04932,0.12198,0.53157,0.25283,0.13939,1.70313,1.99014,1.06304,0.00050606,0.00050606,0.00050606
57,243.703,1.82145,1.61489,1.03075,0.12198,0.53157,0.25283,0.13939,1.70313,1.99014,1.06304,0.000495062,0.000495062,0.000495062
58,246.609,1.6534,1.63862,1.03099,0.59593,0.32276,0.29258,0.16979,1.66021,1.82614,1.0597,0.000484063,0.000484063,0.000484063
59,250.424,1.62096,1.46527,1.0458,0.59593,0.32276,0.29258,0.16979,1.66021,1.82614,1.0597,0.000473064,0.000473064,0.000473064
60,253.79,1.68938,1.49483,1.02073,0.7446,0.25137,0.33273,0.18579,1.67112,1.72456,1.06954,0.000462065,0.000462065,0.000462065
61,257.056,1.73368,1.40783,1.06382,0.7446,0.25137,0.33273,0.18579,1.67112,1.72456,1.06954,0.000451066,0.000451066,0.000451066
62,259.871,1.68065,1.47074,1.0447,0.69396,0.25598,0.3516,0.19461,1.67537,1.68181,1.07127,0.000440067,0.000440067,0.000440067
63,262.725,1.69778,1.35302,1.03752,0.69396,0.25598,0.3516,0.19461,1.67537,1.68181,1.07127,0.000429068,0.000429068,0.000429068
64,265.705,1.70365,1.37859,1.0236,0.68701,0.27321,0.37541,0.20444,1.68434,1.68705,1.07397,0.000418069,0.000418069,0.000418069
65,268.423,1.72444,1.38442,1.03758,0.68701,0.27321,0.37541,0.20444,1.68434,1.68705,1.07397,0.00040707,0.00040707,0.00040707
66,271.792,1.66013,1.41217,1.0441,0.67419,0.29949,0.38775,0.21178,1.68122,1.66915,1.07503,0.000396071,0.000396071,0.000396071
67,276.559,1.7401,1.46901,1.0507,0.67419,0.29949,0.38775,0.21178,1.68122,1.66915,1.07503,0.000385073,0.000385073,0.000385073
68,280.262,1.84368,1.44078,1.01851,0.5701,0.33167,0.38331,0.21507,1.66332,1.6361,1.07484,0.000374074,0.000374074,0.000374074
69,283.143,1.69678,1.35523,1.02383,0.5701,0.33167,0.38331,0.21507,1.66332,1.6361,1.07484,0.000363075,0.000363075,0.000363075
70,286.498,1.63869,1.3094,1.04842,0.55539,0.37684,0.3864,0.22012,1.64575,1.52479,1.07229,0.000352076,0.000352076,0.000352076
71,290.33,1.73106,1.39616,1.01561,0.55539,0.37684,0.3864,0.22012,1.64575,1.52479,1.07229,0.000341077,0.000341077,0.000341077
72,293.916,1.68111,1.48599,1.04117,0.57366,0.41196,0.39378,0.22418,1.63249,1.42266,1.06684,0.000330078,0.000330078,0.000330078
73,297.9,1.66869,1.2881,1.05025,0.57366,0.41196,0.39378,0.22418,1.63249,1.42266,1.06684,0.000319079,0.000319079,0.000319079
74,301.964,1.58934,1.36154,1.03267,0.5679,0.43577,0.39247,0.22372,1.63612,1.3623,1.06566,0.00030808,0.00030808,0.00030808
75,305.679,1.69123,1.32694,1.03959,0.5679,0.43577,0.39247,0.22372,1.63612,1.3623,1.06566,0.000297081,0.000297081,0.000297081
76,308.685,1.51205,1.22955,1.01208,0.5527,0.43354,0.39628,0.22671,1.63383,1.33018,1.06466,0.000286083,0.000286083,0.000286083
77,311.513,1.68741,1.25943,1.05499,0.5527,0.43354,0.39628,0.22671,1.63383,1.33018,1.06466,0.000275084,0.000275084,0.000275084
78,314.019,1.67492,1.38836,1.01208,0.53983,0.44036,0.39523,0.22758,1.6294,1.2991,1.06498,0.000264085,0.000264085,0.000264085
79,317.338,1.63845,1.215,1.01652,0.53983,0.44036,0.39523,0.22758,1.6294,1.2991,1.06498,0.000253086,0.000253086,0.000253086
80,320.394,1.69799,1.34334,1.01815,0.53225,0.44069,0.39657,0.22772,1.63051,1.28524,1.06572,0.000242087,0.000242087,0.000242087
81,323.657,1.63362,1.22034,1.02332,0.53225,0.44069,0.39657,0.22772,1.63051,1.28524,1.06572,0.000231088,0.000231088,0.000231088
82,326.958,1.67097,1.24084,0.99909,0.52432,0.44441,0.39407,0.2265,1.62846,1.28376,1.06433,0.000220089,0.000220089,0.000220089
83,329.986,1.6665,1.30222,1.01496,0.52432,0.44441,0.39407,0.2265,1.62846,1.28376,1.06433,0.00020909,0.00020909,0.00020909
84,333.256,1.60823,1.36245,1.0242,0.54042,0.4559,0.3931,0.22575,1.62648,1.28378,1.06427,0.000198091,0.000198091,0.000198091
85,335.873,1.61349,1.14183,1.0373,0.54042,0.4559,0.3931,0.22575,1.62648,1.28378,1.06427,0.000187092,0.000187092,0.000187092
86,338.693,1.55955,1.29172,1.06059,0.52955,0.46653,0.39431,0.2236,1.63567,1.26807,1.06775,0.000176094,0.000176094,0.000176094
87,341.272,1.5375,1.24946,1.02048,0.52955,0.46653,0.39431,0.2236,1.63567,1.26807,1.06775,0.000165095,0.000165095,0.000165095
88,343.934,1.53187,1.20904,1.01232,0.53994,0.51499,0.39098,0.22052,1.64453,1.24986,1.07152,0.000154096,0.000154096,0.000154096
89,345.962,1.63005,1.29546,1.03725,0.53994,0.51499,0.39098,0.22052,1.64453,1.24986,1.07152,0.000143097,0.000143097,0.000143097
90,348.316,1.58141,1.21593,1.00554,0.52921,0.52994,0.39431,0.22359,1.63947,1.22457,1.07233,0.000132098,0.000132098,0.000132098
91,351.375,1.63168,1.18167,1.02934,0.52921,0.52994,0.39431,0.22359,1.63947,1.22457,1.07233,0.000121099,0.000121099,0.000121099
92,353.967,1.62214,1.21827,1.03616,0.51738,0.53223,0.3934,0.22371,1.62902,1.18329,1.07068,0.0001101,0.0001101,0.0001101
93,356.246,1.64163,1.24643,1.06132,0.51738,0.53223,0.3934,0.22371,1.62902,1.18329,1.07068,9.91012e-05,9.91012e-05,9.91012e-05
94,358.925,1.66397,1.21195,1.06917,0.51559,0.53942,0.39762,0.22639,1.62272,1.15968,1.07021,8.81023e-05,8.81023e-05,8.81023e-05
95,361.76,1.68499,1.20983,1.06653,0.51559,0.53942,0.39762,0.22639,1.62272,1.15968,1.07021,7.71034e-05,7.71034e-05,7.71034e-05
96,364.81,1.56134,1.1419,1.03826,0.49641,0.54668,0.39818,0.22693,1.62332,1.15205,1.07071,6.61045e-05,6.61045e-05,6.61045e-05
97,366.933,1.60581,1.14453,1.03993,0.49641,0.54668,0.39818,0.22693,1.62332,1.15205,1.07071,5.51056e-05,5.51056e-05,5.51056e-05
98,368.501,1.55243,1.25663,1.06441,0.50062,0.54338,0.39508,0.21865,1.62454,1.14972,1.0716,4.41067e-05,4.41067e-05,4.41067e-05
99,370.566,1.64866,1.13968,1.04657,0.50062,0.54338,0.39508,0.21865,1.62454,1.14972,1.0716,3.31078e-05,3.31078e-05,3.31078e-05
100,373.305,1.6176,1.12292,1.02639,0.50585,0.53571,0.39735,0.2195,1.6239,1.14918,1.07207,2.21089e-05,2.21089e-05,2.21089e-05
