epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,109.209,1.65093,1.40156,1.04724,0.7402,0.21436,0.18248,0.09432,1.69729,1.48222,1.09832,0.000543546,0.000543546,0.000543546
42,112.053,1.73887,1.49347,1.054,0.74057,0.25941,0.19109,0.09808,1.70907,1.50674,1.10155,0.000547837,0.000547837,0.000547837
43,114.48,1.70862,1.48338,1.04503,0.74057,0.25941,0.19109,0.09808,1.70907,1.50674,1.10155,0.000551689,0.000551689,0.000551689
44,117.22,1.67012,1.5434,1.05233,0.74188,0.24823,0.22242,0.1058,1.64932,1.50248,1.08542,0.000555101,0.000555101,0.000555101
45,119.933,1.6526,1.39507,1.03582,0.74188,0.24823,0.22242,0.1058,1.64932,1.50248,1.08542,0.000558073,0.000558073,0.000558073
46,123.194,1.6207,1.29782,1.06538,0.74553,0.26271,0.23908,0.11787,1.63894,1.47749,1.0906,0.000560605,0.000560605,0.000560605
47,125.656,1.65939,1.46193,1.01746,0.74553,0.26271,0.23908,0.11787,1.63894,1.47749,1.0906,0.000562697,0.000562697,0.000562697
48,128.62,1.76407,1.62281,1.05795,0.74532,0.29313,0.25836,0.12883,1.63351,1.42898,1.09162,0.000564349,0.000564349,0.000564349
49,131.407,1.74041,1.40586,1.03098,0.74532,0.29313,0.25836,0.12883,1.63351,1.42898,1.09162,0.000565561,0.000565561,0.000565561
50,134.247,1.67917,1.39713,1.04587,0.69038,0.33476,0.25569,0.12843,1.63683,1.38144,1.08956,0.000566333,0.000566333,0.000566333
51,136.902,1.70179,1.43037,1.03483,0.69038,0.33476,0.25569,0.12843,1.63683,1.38144,1.08956,0.000561055,0.000561055,0.000561055
52,139.818,1.67683,1.41721,1.05266,0.70912,0.34694,0.2576,0.12851,1.64297,1.36305,1.08154,0.000550056,0.000550056,0.000550056
53,142.559,1.6476,1.38383,1.08985,0.70912,0.34694,0.2576,0.12851,1.64297,1.36305,1.08154,0.000539057,0.000539057,0.000539057
54,145.311,1.69994,1.45394,1.03147,0.70905,0.33299,0.2627,0.12954,1.6579,1.38134,1.08051,0.000528058,0.000528058,0.000528058
55,147.959,1.67062,1.33708,1.02958,0.70905,0.33299,0.2627,0.12954,1.6579,1.38134,1.08051,0.000517059,0.000517059,0.000517059
56,150.851,1.71329,1.42064,1.03706,0.68978,0.31443,0.26593,0.12956,1.62852,1.37507,1.06678,0.00050606,0.00050606,0.00050606
57,154.257,1.71006,1.35197,1.01419,0.68978,0.31443,0.26593,0.12956,1.62852,1.37507,1.06678,0.000495062,0.000495062,0.000495062
58,156.926,1.58833,1.42156,1.02141,0.68557,0.3254,0.26853,0.1351,1.62058,1.37817,1.06913,0.000484063,0.000484063,0.000484063
59,159.585,1.58032,1.2886,1.04739,0.68557,0.3254,0.26853,0.1351,1.62058,1.37817,1.06913,0.000473064,0.000473064,0.000473064
